,OFF_RATING,PACE,PPP,WINS
45,-0.8790995618889086,-0.5682193411207512,1.004,30.0
46,0.7456557118223449,1.335221686065931,1.056,44.0
47,-0.11103343249813169,0.6282293045394506,1.028,42.0
48,-0.7313945370060674,-1.003291575906277,1.005,43.0
49,-0.40644348226381416,0.4650772164948794,1.018,36.0
50,0.8342787267520531,-0.7313714291653225,1.059,49.0
51,1.425098826283418,2.531670331726133,1.079,61.0
52,0.7161147068457784,-0.40506725307618,1.054,58.0
53,1.247852796424006,-0.8945235172098936,1.073,45.0
54,-0.6427715220763593,-0.9489075465580893,1.011,42.0
55,0.24345862722068812,-0.18753113568341323,1.038,44.0
56,-1.8244117211390891,0.08438901105754137,0.966,23.0
57,-0.022410417568427782,-1.2208276932990438,1.029,37.0
58,0.2729996321972547,-0.5138353117725557,1.032,50.0
59,-0.05195142254499435,-0.45945128242436784,1.029,44.0
60,-0.2923943555824251,0.029838152548336015,1.004,35.0
61,-0.4773041816984089,-0.11437958476862026,1.0,44.0
62,-1.9037514117360226,1.5681606839292188,0.952,17.0
63,-0.028237461131015426,-0.6431779549308023,1.024,47.0
64,-0.8999552128206666,1.183580051083993,0.991,30.0
65,1.9793549366997003,0.6547816809218178,1.093,60.0
66,-3.1188731262125056,0.07791073165398582,0.912,17.0
67,1.1340528744551888,1.712378421246175,1.064,38.0
68,0.07742529664954995,-1.0277585877760214,1.024,43.0
69,-0.31881004502756455,0.17405588986529227,1.011,27.0
70,0.8963116694489185,0.7509268391331242,1.056,50.0
71,-1.8245043434006005,-1.6046295370438532,0.954,25.0
72,1.451041147796881,-0.354742480296883,1.072,42.0
73,0.7378175327780742,0.4624913644992048,1.048,51.0
74,-0.028237461131015426,0.2702010480765987,1.021,49.0
75,0.20950374387525478,-0.16245216387427688,1.033,37.0
76,0.4208292594363818,1.0393623137670367,1.037,42.0
77,0.23591943332039425,0.2702010480765987,1.032,48.0
78,0.28875081221067694,0.17405588986529227,1.032,48.0
79,-0.0018217716858722052,0.31827362718224855,1.026,44.0
80,0.5000763277718039,-0.7393231131421087,1.042,50.0
81,0.6321547749975087,2.096959054091394,1.044,59.0
82,0.6321547749975087,-0.5470327967194959,1.039,60.0
83,-0.0018217716858722052,-1.4123392206212404,1.024,40.0
84,-0.8735395233755234,-0.5951053758251457,0.993,24.0
85,0.447244948881525,-0.7873956922477586,1.037,47.0
86,0.07742529664954995,0.7509268391331242,1.023,28.0
87,-0.13390021891157705,-1.3642666415155904,1.015,37.0
88,0.18308805443011533,-2.181500486311685,1.024,50.0
90,-0.5544447002958478,0.3689854126409043,0.991,28.0
91,-0.039677775162415045,1.4298184739835254,1.007,36.0
92,-0.49388388557426677,0.4151085892210157,1.006,35.0
93,-0.2819210340487394,-0.41510858922103533,1.007,41.0
94,-1.856502216809822,0.9685867081823851,0.956,23.0
95,2.8975217388342225,1.383695297403414,1.104,52.0
96,0.2328458910846934,1.568188003723866,1.024,43.0
97,0.14200466900232392,-0.2767390594806946,1.015,37.0
98,-0.5847251076566405,-1.1069562379227456,0.997,45.0
99,-0.06995818252320775,0.507354942381245,1.019,28.0
100,0.8081736309397073,0.9685867081823851,1.042,56.0
101,-0.22136021932715833,-1.0147098847625162,1.006,42.0
102,1.0504168898260273,0.6457244721215858,1.046,41.0
103,0.9898560751044463,-0.5534781189613761,1.042,58.0
104,-0.5544447002958478,-0.3689854126409174,0.99,47.0
105,-0.2819210340487394,-0.2767390594806946,0.997,39.0
106,-0.22136021932715833,0.4151085892210157,1.014,21.0
107,0.2631262984454861,-1.2914489442431978,1.025,61.0
108,-1.1903332548724428,-0.9224635316022869,0.978,33.0
109,-0.37276225613110886,1.1992025910829551,1.003,29.0
110,0.14200466900232392,-1.7988038866244558,1.021,41.0
111,2.2010723695360506,1.1992025910829551,1.086,55.0
112,-0.06995818252320775,-0.5534781189613761,1.01,57.0
113,1.201818926629978,0.04612317658010484,1.056,37.0
114,-1.6445393652842946,-1.6604343568841151,0.953,33.0
115,-0.5241642929350594,-1.5220648271437678,1.0,42.0
116,0.5659303720533873,0.5996012955414743,1.034,50.0
117,-1.2508940695940196,1.0608330613426145,0.972,25.0
118,-0.2819210340487394,-1.0147098847625162,1.003,54.0
120,-1.5024898524299162,0.09942285917451193,0.988,13.0
121,0.5053564965241949,0.9693728769515134,1.059,45.0
122,0.03976893734643105,-0.3976914366980595,1.053,42.0
